,average,average_rank,bet_ceiling,bet_female,bet_intercept,conf_diff_lin,conf_diff_quad,diff_ceiling,diff_floor,gross,gross_rank,model_id,num_fight_lin,num_fight_quad,prev_fight_ceiling,prev_fight_floor,standard_wager,tot_val_rank,total_rank,val_average,val_average_rank,val_gross,val_gross_rank
28b8715b-3738-45c9-afe3-9abf9f0765f4,22.909485017198133,81.78,189,False,0.2913532807538031,0.11129435481236388,0.3050486823836148,0.13800287095693373,0.0014620921360160443,1053.836310791114,99.16,28b8715b-3738-45c9-afe3-9abf9f0765f4,0.3568906779437394,0.18446713043686236,99,3,1,98.90756302521008,180.94,4.535974712615338,47.983193277310924,208.65483678030554,50.924369747899156
ce218db4-9bfc-44d2-bbf3-9d168f7794b7,22.904798543726482,81.76,186,False,0.3520165693955071,0.06962281218388287,0.3828779920416887,0.13917303027985306,0.0027970975915946866,1053.6207330114182,99.14,ce218db4-9bfc-44d2-bbf3-9d168f7794b7,0.2072190419808033,0.19679373451827767,99,3,1,53.865546218487395,180.9,3.5008703597842765,27.22689075630252,157.53916619029243,26.638655462184875
e4e157e2-10c5-4399-9c5f-a603d0db3848,22.900173267458655,81.72,189,False,0.2915833278208898,0.11271044551609255,0.2903484041271721,0.13821072356072506,0.001529678915597758,1053.4079703030982,99.12,e4e157e2-10c5-4399-9c5f-a603d0db3848,0.35720831564735683,0.17899058691602399,99,3,1,98.23529411764706,180.84,4.503544404660369,47.73109243697479,207.163042614377,50.50420168067227
0e7b630a-7ef3-49de-bfc3-f75e2a23e189,22.847420218938147,81.7,190,False,0.2501577551605509,0.09302908337578875,0.31466348008296136,0.138327248216297,0.0019279232145081426,1050.9813300711548,99.1,0e7b630a-7ef3-49de-bfc3-f75e2a23e189,0.3151175224677213,0.19927994949073946,99,3,1,96.47058823529412,180.8,4.455571030348017,46.80672268907563,204.9562673960088,49.66386554621849
1e59af90-d57b-4a30-9587-8dfc4779969b,22.846117031824832,81.68,189,False,0.28285952713018947,0.11597866716598157,0.27389115740880837,0.1383142042326163,0.001672591340606931,1050.9213834639422,99.08,1e59af90-d57b-4a30-9587-8dfc4779969b,0.3635122170319317,0.17520171513251576,99,3,1,97.73109243697479,180.76,4.48957113323429,47.47899159663866,206.52027212877732,50.252100840336134
c9bce333-3d9e-442c-8a34-a92da1309dc9,22.836800215709523,81.66,190,False,0.2775847789001353,0.11752271821553656,0.2575098036639709,0.13816687599445177,0.0014790020183951833,1050.4928099226381,99.06,c9bce333-3d9e-442c-8a34-a92da1309dc9,0.40117966809676864,0.16779090087422674,99,3,1,90.7563025210084,180.72,4.2827386669609915,44.20168067226891,197.0059786802056,46.554621848739494
06a799b7-2cf6-4509-84d5-4b2a8618cdbd,22.827965300489748,81.62,188,False,0.3015465882851807,0.08856845628222756,0.3463119063815078,0.13844563709535887,0.0020036262125987495,1050.0864038225284,99.04,06a799b7-2cf6-4509-84d5-4b2a8618cdbd,0.27474948640828323,0.20218071192682954,99,3,1,72.85714285714286,180.66000000000003,3.9479780378414677,35.88235294117647,181.60698974070752,36.97478991596638
60d7b402-0649-40c4-bef9-a3e39f20314d,22.79072810084233,81.58,189,False,0.26669983712887707,0.11954729339519235,0.269629736961792,0.13974949072530315,0.0014220055604984463,1048.3734926387472,99.02,60d7b402-0649-40c4-bef9-a3e39f20314d,0.3965442652935031,0.1721907165238012,99,3,1,95.29411764705883,180.6,4.410134129241831,46.21848739495798,202.8661699451242,49.075630252100844
8cb97d97-48d1-4545-b95b-79c0c5f47d8b,22.78300622904913,81.56,187,False,0.31839572174054614,0.10409036986323483,0.22545267903834165,0.13915446015155544,0.0020177318929353277,1048.01828653626,99.0,8cb97d97-48d1-4545-b95b-79c0c5f47d8b,0.3120040959198434,0.159903672956287,99,3,1,82.52100840336135,180.56,4.117861259793379,40.252100840336134,189.42161795049543,42.26890756302521
0b65a612-e424-495b-8c06-527d2ed8d3ab,22.77953470467709,81.54,186,False,0.3876164907074141,0.08760086676113621,0.4046789579589813,0.1381249500520695,0.002932792522558476,1047.8585964151462,98.98,0b65a612-e424-495b-8c06-527d2ed8d3ab,0.22807212690978376,0.1951648668581829,99,3,1,43.61344537815126,180.52,3.1252035399328646,21.680672268907564,140.6341592969789,21.932773109243698
80dea08a-8e82-41f7-8ce4-f43dfb97ed1b,22.738024364233954,81.46,186,False,0.2902456690953211,0.11284379552026871,0.3131645091133321,0.139651261318309,0.0012049653729015025,1045.949120754762,98.94,80dea08a-8e82-41f7-8ce4-f43dfb97ed1b,0.35984658076195064,0.16439737238272453,99,3,1,50.0,180.39999999999998,3.326584029773277,24.537815126050422,153.02286536957075,25.462184873949578
53811e5a-df70-497a-92ae-418ae5269411,22.696938796776866,81.4,190,False,0.3031946766644826,0.09583936005419351,0.2980745060761923,0.1389551080380308,0.0017873562735711854,1044.059184651736,98.92,53811e5a-df70-497a-92ae-418ae5269411,0.3587679492364077,0.19594704000379756,99,3,1,100.92436974789916,180.32,4.594893480539784,48.65546218487395,211.36510010483008,52.26890756302521
2c14ef64-db77-4327-a7e4-c2c4cee84e53,22.686737739411274,81.38,186,False,0.32444864014451436,0.13009919956630903,0.2899571311475033,0.13967075087261785,0.0018990369511399307,1043.5899360129185,98.9,2c14ef64-db77-4327-a7e4-c2c4cee84e53,0.3033115559000355,0.1687866022618452,99,3,1,65.12605042016807,180.28,3.7931418056028186,32.26890756302521,174.48452305772966,32.857142857142854
5f27938e-1030-4c7f-a5e4-009f29d10f8f,22.6667607434404,81.34,191,False,0.22154598479063276,0.06787172562055373,0.2208668272801352,0.13862388071199078,0.0023196497512047373,1042.6709941982583,98.88,5f27938e-1030-4c7f-a5e4-009f29d10f8f,0.4198121869755149,0.17741267617839723,99,3,1,114.03361344537815,180.22,5.325318045304995,54.53781512605042,239.63931203872477,59.49579831932773
4f33df76-5e9e-497d-b8df-a8299d208040,22.651207326086478,81.32,189,False,0.2463171318887894,0.12207028794197125,0.258039195375612,0.13788920887487024,0.00134585362878932,1041.955536999978,98.86,4f33df76-5e9e-497d-b8df-a8299d208040,0.39925755381669936,0.17753883415836205,99,3,1,108.73949579831933,180.18,4.9098770598671795,52.10084033613445,225.85434475389025,56.63865546218487
49e6df2c-4b9b-441e-b40e-edcc5c442aaa,22.600453866756855,81.26,188,False,0.2794564223205281,0.083012121587928,0.30935838637106466,0.13965942862943134,0.0017028315677906584,1039.6208778708153,98.84,49e6df2c-4b9b-441e-b40e-edcc5c442aaa,0.3049445955532819,0.1974620537673029,99,3,1,96.80672268907563,180.10000000000002,4.460295955155276,46.97478991596638,205.1736139371427,49.831932773109244
fae66ce5-6c9f-40e0-a28c-def23f6c6519,22.593362717923977,81.22,184,False,0.30953458594430816,0.0898665123806489,0.31904768677722095,0.13786915350051196,0.0017508445290658936,1039.294685024503,98.82,fae66ce5-6c9f-40e0-a28c-def23f6c6519,0.2665771691707494,0.1802014245332715,99,3,1,83.4453781512605,180.04,4.154275828275356,40.67226890756302,191.09668810066637,42.773109243697476
